location,size,total_sqft,bath,price,bhk,price_per_sqft
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,4305
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245
Marathahalli,3 BHK,1310.0,3.0,63.25,3,4828
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255
other,2 BHK,1100.0,2.0,48.0,2,4363
Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951
Bellandur,3 BHK,1767.0,3.0,103.0,3,5829
Thanisandra,1 RK,510.0,1.0,25.25,1,4950
other,3 BHK,1250.0,3.0,56.0,3,4480
Whitefield,3 BHK,1610.0,3.0,81.0,3,5031
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585
Hebbal,3 BHK,1760.0,2.0,123.0,3,6988
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,6493
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250
other,1 BHK,600.0,1.0,38.0,1,6333
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897
Whitefield,2 BHK,1459.0,2.0,94.82,2,6498
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329
Yelahanka,3 BHK,1600.0,2.0,75.0,3,4687
other,2 BHK,840.0,2.0,45.0,2,5357
other,3 Bedroom,4395.0,3.0,240.0,3,5460
other,2 BHK,845.0,2.0,55.0,2,6508
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,4666
Doddathoguru,2 BHK,1100.0,2.0,62.0,2,5636
Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296
Begur Road,2 BHK,1358.0,2.0,80.58,2,5933
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437
Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645
Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,5681
other,3 BHK,1660.0,2.0,105.0,3,6325
Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,7000
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,5285
Dasanapura,2 BHK,708.0,2.0,37.0,2,5225
